lab_name,transfer_mode,protocol_name,display_name,active_total_nominal,masked_total,variable,rmse,mae,r2
lab2,head_only,lab2_active_1_5_10,"Lab2 active set [1, 5, 10]",3,10,temperature,0.25995801744568464,0.16743735281320718,0.9492901085539759
lab2,head_only,lab2_active_1_5_11,"Lab2 active set [1, 5, 11]",3,10,humidity,0.7060170313653907,0.4673817501618312,0.9586919647890798
lab2,head_only,lab2_active_1_5_11,"Lab2 active set [1, 5, 11]",3,10,temperature,0.2469319321796775,0.1648070399577801,0.9545746110718538
lab2,head_only,lab2_active_1_5_12,"Lab2 active set [1, 5, 12]",3,10,humidity,0.7266675086889138,0.49915104187451875,0.9569642158207133
lab2,head_only,lab2_active_1_5_12,"Lab2 active set [1, 5, 12]",3,10,temperature,0.2586779556101714,0.1742285558810601,0.9503884258214514
lab2,head_only,lab2_active_1_5_13,"Lab2 active set [1, 5, 13]",3,10,humidity,0.679424921334541,0.4589833663060115,0.9618358141433111
lab2,head_only,lab2_active_1_5_13,"Lab2 active set [1, 5, 13]",3,10,temperature,0.2748778427181591,0.19854585482523993,0.9438933551552234
lab2,head_only,lab2_active_1_5_6,"Lab2 active set [1, 5, 6]",3,10,humidity,0.6626355342872613,0.45885326312138486,0.9629230397290566
lab2,head_only,lab2_active_1_5_6,"Lab2 active set [1, 5, 6]",3,10,temperature,0.24153917527462504,0.1600733995437622,0.9561072648322173
lab2,head_only,lab2_active_1_5_7,"Lab2 active set [1, 5, 7]",3,10,humidity,0.7467707543061354,0.5174011633946345,0.9538808027332155
lab2,head_only,lab2_active_1_5_7,"Lab2 active set [1, 5, 7]",3,10,temperature,0.26694690798571535,0.17518022943001527,0.9464856855799341
lab2,head_only,lab2_active_1_5_7_9_12,"Lab2 active set [1, 5, 7, 9, 12]",5,8,humidity,0.6695105396486102,0.46673642901273876,0.9620587197172603
lab2,head_only,lab2_active_1_5_7_9_12,"Lab2 active set [1, 5, 7, 9, 12]",5,8,temperature,0.25260557109406295,0.1670267077592703,0.952026123629765
lab2,head_only,lab2_active_1_5_8,"Lab2 active set [1, 5, 8]",3,10,humidity,0.8309755950092541,0.6175227165222168,0.9441877778853923
lab2,head_only,lab2_active_1_5_8,"Lab2 active set [1, 5, 8]",3,10,temperature,0.27445208961616524,0.19179576635360718,0.9439950409609659
lab2,head_only,lab2_active_1_5_9,"Lab2 active set [1, 5, 9]",3,10,humidity,0.7023446765831094,0.5101334246305319,0.9588152869100645
lab2,head_only,lab2_active_1_5_9,"Lab2 active set [1, 5, 9]",3,10,temperature,0.2467388850492975,0.16454604554634827,0.953255015796753
lab2,head_only,lab2_active_1_6,"Lab2 active set [1, 6]",2,11,humidity,0.7269266211426834,0.49926881606762225,0.9569699535335088
lab2,head_only,lab2_active_1_6,"Lab2 active set [1, 6]",2,11,temperature,0.2679149659224794,0.18470844626426697,0.9457293124666725
lab2,head_only,lab2_active_1_6_10,"Lab2 active set [1, 6, 10]",3,10,humidity,0.6755582814459882,0.4540994625825148,0.9608264507064244
lab2,head_only,lab2_active_1_6_10,"Lab2 active set [1, 6, 10]",3,10,temperature,0.242708888394285,0.1578646915463301,0.9559622252140861
lab2,head_only,lab2_active_1_6_11,"Lab2 active set [1, 6, 11]",3,10,humidity,0.6930401486889886,0.49973280613238996,0.9624139555436314
lab2,head_only,lab2_active_1_6_11,"Lab2 active set [1, 6, 11]",3,10,temperature,0.2392675650762565,0.16126488206478265,0.9568195553765346
lab2,head_only,lab2_active_1_6_12,"Lab2 active set [1, 6, 12]",3,10,humidity,0.7090871207268178,0.5109693247538346,0.9584974350372352
lab2,head_only,lab2_active_1_6_12,"Lab2 active set [1, 6, 12]",3,10,temperature,0.2529523854698011,0.17425387180768526,0.9529244425503127
lab2,head_only,lab2_active_1_6_13,"Lab2 active set [1, 6, 13]",3,10,humidity,0.7714602724637684,0.5539137652287116,0.9526184536946852
lab2,head_only,lab2_active_1_6_13,"Lab2 active set [1, 6, 13]",3,10,temperature,0.25409803430516237,0.17250686826614234,0.9520279230605768
lab2,head_only,lab2_active_1_6_7,"Lab2 active set [1, 6, 7]",3,10,humidity,0.8262863709201198,0.6319663364153641,0.9446480305293302
lab2,head_only,lab2_active_1_6_7,"Lab2 active set [1, 6, 7]",3,10,temperature,0.2993731388516551,0.22081707876462203,0.9345331019414191
lab2,head_only,lab2_active_1_6_7_8_12,"Lab2 active set [1, 6, 7, 8, 12]",5,8,humidity,0.769210994443182,0.5594048660535079,0.9507659986020851
