transfer_mode,protocol_name,display_name,masked_total,variable,rmse,mae,r2,active_count,rank_within_k,source_score,source_r2_temperature,source_r2_humidity,active_total_nominal
full_finetune,lab2_active_10_12,"Lab2 active set [10, 12]",11,humidity,0.6886943968990805,0.44153021161372846,0.9613952097530808,2,5.0,0.8999330980609063,0.9357172381864598,0.8641489579353527,2
full_finetune,lab2_active_10_12,"Lab2 active set [10, 12]",11,temperature,0.1901625266161236,0.12570718102730238,0.9796212836435186,2,5.0,0.8999330980609063,0.9357172381864598,0.8641489579353527,2
full_finetune,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,humidity,0.6084137340042765,0.402406408236577,0.9690947894072112,5,5.0,0.9105067177646492,0.9345687587779052,0.8864446767513936,5
full_finetune,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,temperature,0.1874165411685791,0.12304004224447104,0.9801442972498259,5,5.0,0.9105067177646492,0.9345687587779052,0.8864446767513936,5
full_finetune,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",8,humidity,0.6374576632760038,0.41965385583730846,0.9658883102152807,5,1.0,0.9205448074920836,0.9417048806006524,0.8993847343835151,5
full_finetune,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",8,temperature,0.18444263210669257,0.11904686116255246,0.9806766934823835,5,1.0,0.9205448074920836,0.9417048806006524,0.8993847343835151,5
full_finetune,lab2_active_2_4_7,"Lab2 active set [2, 4, 7]",10,humidity,0.669558573820434,0.4366718851602994,0.9622767559413401,3,3.0,0.915910571939737,0.9395907101033968,0.8922304337760772,3
full_finetune,lab2_active_2_4_7,"Lab2 active set [2, 4, 7]",10,temperature,0.23538525948202174,0.14743930330643287,0.9686047835616789,3,3.0,0.915910571939737,0.9395907101033968,0.8922304337760772,3
full_finetune,lab2_active_2_7,"Lab2 active set [2, 7]",11,humidity,0.737880716096295,0.502988379735213,0.9552976198918758,2,2.0,0.904532155380252,0.931917829500442,0.8771464812600616,2
full_finetune,lab2_active_2_7,"Lab2 active set [2, 7]",11,temperature,0.23825375878376148,0.15730753942177847,0.9668287425465926,2,2.0,0.904532155380252,0.931917829500442,0.8771464812600616,2
full_finetune,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,humidity,0.6278252326048871,0.4034493611409114,0.9686329336986954,5,2.0,0.9136143319883454,0.936178614195629,0.8910500497810617,5
full_finetune,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,temperature,0.182916929586284,0.11765841451975015,0.9808680214384735,5,2.0,0.9136143319883454,0.936178614195629,0.8910500497810617,5
full_finetune,lab2_active_4_6_7,"Lab2 active set [4, 6, 7]",10,humidity,0.689344444135031,0.4612604884000925,0.9603104515856764,3,1.0,0.9193659879191334,0.9409863300645436,0.8977456457737232,3
full_finetune,lab2_active_4_6_7,"Lab2 active set [4, 6, 7]",10,temperature,0.22391614552769076,0.1448017845933254,0.9713678432029194,3,1.0,0.9193659879191334,0.9409863300645436,0.8977456457737232,3
full_finetune,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,humidity,0.6982474780288298,0.44218422128604007,0.9616365471126086,5,4.0,0.910873516277186,0.9373549071345408,0.884392125419831,5
full_finetune,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,temperature,0.1855978525625272,0.11758727637621072,0.98076203189525,5,4.0,0.910873516277186,0.9373549071345408,0.884392125419831,5
full_finetune,lab2_active_4_6_9,"Lab2 active set [4, 6, 9]",10,humidity,0.6190490533334775,0.4127636391382951,0.9652631448528477,3,2.0,0.9160775305379836,0.9351454362444788,0.897009624831488,3
full_finetune,lab2_active_4_6_9,"Lab2 active set [4, 6, 9]",10,temperature,0.1888083912367447,0.12448155192228463,0.979224287253692,3,2.0,0.9160775305379836,0.9351454362444788,0.897009624831488,3
full_finetune,lab2_active_5_6_9,"Lab2 active set [5, 6, 9]",10,humidity,0.6428771574628998,0.4214710547373845,0.965966140914072,3,4.0,0.9155817795908644,0.9385801849540224,0.8925833742277067,3
full_finetune,lab2_active_5_6_9,"Lab2 active set [5, 6, 9]",10,temperature,0.1822601798667001,0.11980919138743328,0.9808371436137556,3,4.0,0.9155817795908644,0.9385801849540224,0.8925833742277067,3
full_finetune,lab2_active_5_7,"Lab2 active set [5, 7]",11,humidity,0.6521168741594708,0.42663814700566804,0.9653182593203782,2,4.0,0.9013953453485144,0.9330976070759144,0.8696930836211141,2
