transfer_mode,protocol_name,display_name,masked_total,active_total_nominal,sensor,variable,rmse,mae,r2,active_count,rank_within_k
lab1_reference,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,5,1,temperature,0.21545027170208406,0.1504528671503067,0.8841705846137403,5,5.0
lab1_reference,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,5,1,humidity,0.7443820031234613,0.5472459197044373,0.9812114483739465,5,5.0
lab1_reference,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,5,2,temperature,0.11621498052792804,0.09083268791437149,0.9833424731817684,5,5.0
lab1_reference,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,5,2,humidity,0.4846117148803327,0.3832218050956726,0.991718886997701,5,5.0
lab1_reference,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,5,3,temperature,0.10112834255290234,0.08019072562456131,0.9813043926674472,5,5.0
lab1_reference,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,5,3,humidity,0.5563302228706188,0.44567006826400757,0.988240195756803,5,5.0
lab1_reference,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,5,4,temperature,0.10442149810488968,0.08302401751279831,0.9697104813489177,5,5.0
lab1_reference,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,5,4,humidity,0.41153798559659754,0.3319759964942932,0.9925971738836655,5,5.0
lab1_reference,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,5,5,temperature,0.07025255853645085,0.054648883640766144,0.9883586072770099,5,5.0
lab1_reference,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,5,5,humidity,0.3436854583664332,0.2800304591655731,0.9954919186586783,5,5.0
lab1_reference,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,5,6,temperature,0.22595405268678184,0.1336064636707306,0.9550544948848583,5,5.0
lab1_reference,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,5,6,humidity,0.90693618841407,0.6260811686515808,0.9749369050991612,5,5.0
lab1_reference,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,5,7,temperature,0.10854764927205882,0.08220014721155167,0.9730234530619541,5,5.0
lab1_reference,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,5,7,humidity,0.46549843917875927,0.35727760195732117,0.9913002146410408,5,5.0
lab1_reference,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,5,8,temperature,0.08511089376961199,0.0644817128777504,0.985458828561866,5,5.0
lab1_reference,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,5,8,humidity,0.265797867342385,0.2060791403055191,0.9975239440770419,5,5.0
lab1_reference,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,5,9,temperature,0.10937187496898018,0.08420281857252121,0.9820214999877288,5,5.0
lab1_reference,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,5,9,humidity,0.48699634100128875,0.3690323531627655,0.992479541074201,5,5.0
lab1_reference,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,5,10,temperature,0.0972809494156671,0.07269139587879181,0.9791042516141457,5,5.0
lab1_reference,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,5,10,humidity,0.39791971108967933,0.2957720458507538,0.9939176561321725,5,5.0
lab1_reference,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,5,11,temperature,0.1199736551706425,0.0905892476439476,0.9694181485433736,5,5.0
lab1_reference,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,5,11,humidity,0.4029215580262992,0.31959956884384155,0.9932737678264151,5,5.0
lab1_reference,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,5,12,temperature,0.06757660999143394,0.04943278059363365,0.9904339953535253,5,5.0
lab1_reference,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,5,12,humidity,0.3258075049453016,0.23967285454273224,0.9962997716817825,5,5.0
lab1_reference,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,5,13,temperature,0.7139283870237972,0.28264519572257996,0.6005180919913842,5,5.0
lab1_reference,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,5,13,humidity,1.9897463933090265,0.8958297371864319,0.7964292444543697,5,5.0
lab1_reference,lab2_active_4_6_7,"Lab2 active set [4, 6, 7]",10,3,1,temperature,0.24305454530203235,0.16719667613506317,0.8525881969501802,3,1.0
lab1_reference,lab2_active_4_6_7,"Lab2 active set [4, 6, 7]",10,3,1,humidity,0.8702488038674814,0.6466431021690369,0.9743203883330641,3,1.0
lab1_reference,lab2_active_4_6_7,"Lab2 active set [4, 6, 7]",10,3,2,temperature,0.12191780481825232,0.09578626602888107,0.981667547749615,3,1.0
lab1_reference,lab2_active_4_6_7,"Lab2 active set [4, 6, 7]",10,3,2,humidity,0.5178647093619432,0.41577568650245667,0.9905434324057244,3,1.0
