lab_name,transfer_mode,protocol_name,display_name,active_total_nominal,masked_total,sensor,sensor_is_active,variable,rmse,mae,r2,active_count,rank_within_k,source_transfer_mode,source_score,source_r2_temperature,source_r2_humidity
lab1,lab1_reference,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,8,1,temperature,0.07996579467620224,0.06329222023487091,0.9864709192738378,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab1,lab1_reference,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,8,1,humidity,0.27036674208867123,0.2122984379529953,0.9969028580201003,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab1,lab1_reference,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,9,0,temperature,0.13428740723786128,0.1037813276052475,0.9714629214396245,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab1,lab1_reference,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,9,0,humidity,0.5332641287200349,0.4122733771800995,0.9895307146835,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab1,lab1_reference,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,10,1,temperature,0.08793689781259324,0.06534264236688614,0.9813748974017359,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab1,lab1_reference,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,10,1,humidity,0.4013823531875256,0.30097028613090515,0.9922009718877954,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab1,lab1_reference,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,11,0,temperature,0.09465481803915393,0.07450352609157562,0.9781509243972413,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab1,lab1_reference,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,11,0,humidity,0.3563518662960616,0.2712724506855011,0.9936121362376554,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab1,lab1_reference,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,12,1,temperature,0.09472479769449033,0.06568364053964615,0.9799922509227387,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab1,lab1_reference,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,12,1,humidity,0.43128835535177173,0.33070051670074463,0.992174066779709,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab1,lab1_reference,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,13,0,temperature,0.38091541758271086,0.2613365650177002,0.6628104759625693,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab1,lab1_reference,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,13,0,humidity,1.2088601290407723,0.8844579458236694,0.9294543075521507,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab1,lab1_reference,lab2_active_3_4_6_11_12,"Lab2 active set [3, 4, 6, 11, 12]",5,8,1,0,temperature,0.17203038950816638,0.12318557500839233,0.9236172454593348,5,3.0,head_only,0.9602079936700301,0.9535127665029542,0.9669032208371059
lab1,lab1_reference,lab2_active_3_4_6_11_12,"Lab2 active set [3, 4, 6, 11, 12]",5,8,1,0,humidity,0.6168848092208484,0.473297655582428,0.9854800357599051,5,3.0,head_only,0.9602079936700301,0.9535127665029542,0.9669032208371059
lab1,lab1_reference,lab2_active_3_4_6_11_12,"Lab2 active set [3, 4, 6, 11, 12]",5,8,2,0,temperature,0.11072921693791168,0.08766142278909683,0.9830828039233599,5,3.0,head_only,0.9602079936700301,0.9535127665029542,0.9669032208371059
lab1,lab1_reference,lab2_active_3_4_6_11_12,"Lab2 active set [3, 4, 6, 11, 12]",5,8,2,0,humidity,0.618256596634561,0.48804691433906555,0.983744660795439,5,3.0,head_only,0.9602079936700301,0.9535127665029542,0.9669032208371059
lab1,lab1_reference,lab2_active_3_4_6_11_12,"Lab2 active set [3, 4, 6, 11, 12]",5,8,3,1,temperature,0.13588782257790624,0.09779135137796402,0.9655279515004357,5,3.0,head_only,0.9602079936700301,0.9535127665029542,0.9669032208371059
lab1,lab1_reference,lab2_active_3_4_6_11_12,"Lab2 active set [3, 4, 6, 11, 12]",5,8,3,1,humidity,0.6047742490617986,0.4748151898384094,0.9834878718634955,5,3.0,head_only,0.9602079936700301,0.9535127665029542,0.9669032208371059
