transfer_mode,protocol_name,display_name,active_count,masked_total,r2_humidity,r2_temperature,score
head_only,lab2_active_3_13,"Lab2 active set [3, 13]",2,11,0.9526997080161769,0.9247213438998917,0.9387105259580343
head_only,lab2_active_5_8,"Lab2 active set [5, 8]",2,11,0.9432658743491495,0.9337283551496688,0.9384971147494092
head_only,lab2_active_1_10,"Lab2 active set [1, 10]",2,11,0.9377547721433158,0.9388495888805946,0.9383021805119551
head_only,lab2_active_2_9,"Lab2 active set [2, 9]",2,11,0.9529445945969492,0.9236392759046405,0.9382919352507948
head_only,lab2_active_1_9,"Lab2 active set [1, 9]",2,11,0.9392484247275207,0.9363374704226003,0.9377929475750605
head_only,lab2_active_12_13,"Lab2 active set [12, 13]",2,11,0.9559443284005346,0.9190721883755153,0.937508258388025
head_only,lab2_active_5_13,"Lab2 active set [5, 13]",2,11,0.9480932793413313,0.926490868581037,0.9372920739611841
head_only,lab2_active_3_4,"Lab2 active set [3, 4]",2,11,0.9649490081843642,0.9083635718813846,0.9366562900328744
head_only,lab2_active_1_4,"Lab2 active set [1, 4]",2,11,0.9501650860848618,0.9223781422424808,0.9362716141636713
head_only,lab2_active_10_13,"Lab2 active set [10, 13]",2,11,0.9555030049446422,0.9152170964373241,0.9353600506909832
head_only,lab2_active_6_9,"Lab2 active set [6, 9]",2,11,0.9479517482971848,0.9211785191946888,0.9345651337459369
head_only,lab2_active_4_9,"Lab2 active set [4, 9]",2,11,0.9428109638150487,0.9254239463842394,0.9341174550996441
head_only,lab2_active_3_7,"Lab2 active set [3, 7]",2,11,0.9396553230138756,0.9243997397437875,0.9320275313788315
head_only,lab2_active_4_11,"Lab2 active set [4, 11]",2,11,0.9484519333640224,0.9142257590254457,0.9313388461947341
head_only,lab2_active_7_10,"Lab2 active set [7, 10]",2,11,0.9418717774654931,0.9163769309035956,0.9291243541845444
head_only,lab2_active_1_7,"Lab2 active set [1, 7]",2,11,0.9380937590956457,0.9199121434221775,0.9290029512589116
head_only,lab2_active_6_13,"Lab2 active set [6, 13]",2,11,0.9418246732874562,0.9142598875142824,0.9280422804008693
head_only,lab2_active_2_4,"Lab2 active set [2, 4]",2,11,0.943955437233982,0.9096688146196498,0.9268121259268158
head_only,lab2_active_4_7,"Lab2 active set [4, 7]",2,11,0.9323188579074392,0.9198766735686095,0.9260977657380243
head_only,lab2_active_6_7,"Lab2 active set [6, 7]",2,11,0.9442846066798889,0.9070061182423227,0.9256453624611058
head_only,lab2_active_3_6,"Lab2 active set [3, 6]",2,11,0.9334690102826548,0.9174706925857745,0.9254698514342147
head_only,lab2_active_2_11,"Lab2 active set [2, 11]",2,11,0.9307965411948597,0.919191200754139,0.9249938709744994
head_only,lab2_active_7_9,"Lab2 active set [7, 9]",2,11,0.9380904112204665,0.9090438762741516,0.9235671437473091
head_only,lab2_active_11_13,"Lab2 active set [11, 13]",2,11,0.9339983589656925,0.9116866487469217,0.9228425038563071
head_only,lab2_active_1_13,"Lab2 active set [1, 13]",2,11,0.9162058183612867,0.9285094539363836,0.9223576361488351
head_only,lab2_active_2_6,"Lab2 active set [2, 6]",2,11,0.9408861897708919,0.9035789523170406,0.9222325710439663
head_only,lab2_active_4_6,"Lab2 active set [4, 6]",2,11,0.9508814807422064,0.8776805288206947,0.9142810047814505
head_only,lab2_active_4_13,"Lab2 active set [4, 13]",2,11,0.9301404952383809,0.8878750557184596,0.9090077754784203
