transfer_mode,protocol_name,display_name,masked_total,r2_humidity,r2_temperature,active_count,score
head_only,lab2_active_4_8_10,"Lab2 active set [4, 8, 10]",10,0.8766629115946455,0.9208415166715332,3,0.8987522141330894
head_only,lab2_active_6_12_13,"Lab2 active set [6, 12, 13]",10,0.8704586287285724,0.9268205628371693,3,0.8986395957828708
head_only,lab2_active_6_7_9,"Lab2 active set [6, 7, 9]",10,0.8780182312992753,0.9191539949526035,3,0.8985861131259394
head_only,lab2_active_1_10_12,"Lab2 active set [1, 10, 12]",10,0.8674705251285294,0.9296883979135553,3,0.8985794615210423
head_only,lab2_active_2_10_12,"Lab2 active set [2, 10, 12]",10,0.8626497797250109,0.9341979696656109,3,0.8984238746953108
head_only,lab2_active_2_5_8,"Lab2 active set [2, 5, 8]",10,0.8647643322854017,0.9319750314785029,3,0.8983696818819523
head_only,lab2_active_2_6_8,"Lab2 active set [2, 6, 8]",10,0.8732197363991971,0.9234691152569661,3,0.8983444258280816
head_only,lab2_active_1_4_9,"Lab2 active set [1, 4, 9]",10,0.8764622113530508,0.9201755360959987,3,0.8983188737245247
head_only,lab2_active_4_7_12,"Lab2 active set [4, 7, 12]",10,0.8814474713967329,0.915155648387536,3,0.8983015598921344
head_only,lab2_active_2_5_12,"Lab2 active set [2, 5, 12]",10,0.8606149342460339,0.9358665385877613,3,0.8982407364168976
head_only,lab2_active_6_9_12,"Lab2 active set [6, 9, 12]",10,0.8748442913356776,0.9210926828221994,3,0.8979684870789385
head_only,lab2_active_9_10_13,"Lab2 active set [9, 10, 13]",10,0.8762356787451592,0.9194444633479844,3,0.8978400710465717
head_only,lab2_active_3_5_7,"Lab2 active set [3, 5, 7]",10,0.8731450285411259,0.9225220937579113,3,0.8978335611495185
head_only,lab2_active_8_11_12,"Lab2 active set [8, 11, 12]",10,0.8669383825404826,0.9282563812820703,3,0.8975973819112765
head_only,lab2_active_3_7_10,"Lab2 active set [3, 7, 10]",10,0.8725348461299579,0.9225816724804707,3,0.8975582593052143
head_only,lab2_active_1_8_9,"Lab2 active set [1, 8, 9]",10,0.8707206843190313,0.9243826444764134,3,0.8975516643977224
head_only,lab2_active_5_6_10,"Lab2 active set [5, 6, 10]",10,0.8616307185551713,0.9329763404844071,3,0.8973035295197892
head_only,lab2_active_6_11_12,"Lab2 active set [6, 11, 12]",10,0.868140632947614,0.9264343658628476,3,0.8972874994052308
head_only,lab2_active_2_8_11,"Lab2 active set [2, 8, 11]",10,0.8662806574030846,0.9281864578802422,3,0.8972335576416635
head_only,lab2_active_6_8_13,"Lab2 active set [6, 8, 13]",10,0.8627409472049623,0.9313025056367591,3,0.8970217264208606
head_only,lab2_active_5_10_12,"Lab2 active set [5, 10, 12]",10,0.8550932345440609,0.9371233893057838,3,0.8961083119249224
head_only,lab2_active_2_6_9,"Lab2 active set [2, 6, 9]",10,0.8791287486098706,0.9129488434074275,3,0.8960387960086491
head_only,lab2_active_9_11_13,"Lab2 active set [9, 11, 13]",10,0.8694035538191511,0.9226551743432067,3,0.896029364081179
head_only,lab2_active_1_5_8,"Lab2 active set [1, 5, 8]",10,0.8623204436797386,0.9296226596327805,3,0.8959715516562595
head_only,lab2_active_2_6_12,"Lab2 active set [2, 6, 12]",10,0.8708007731045451,0.9209903632535611,3,0.895895568179053
head_only,lab2_active_1_2_12,"Lab2 active set [1, 2, 12]",10,0.8635493143286392,0.9280998102933454,3,0.8958245623109924
head_only,lab2_active_1_3_7,"Lab2 active set [1, 3, 7]",10,0.8679560497987141,0.9229886384196083,3,0.8954723441091612
head_only,lab2_active_4_5_8,"Lab2 active set [4, 5, 8]",10,0.8697304927134741,0.9205956213759394,3,0.8951630570447068
head_only,lab2_active_4_9_13,"Lab2 active set [4, 9, 13]",10,0.881977468568081,0.9082734737322034,3,0.8951254711501422
head_only,lab2_active_1_2_10,"Lab2 active set [1, 2, 10]",10,0.8616376749909562,0.9280964142171156,3,0.8948670446040359
head_only,lab2_active_1_2_3,"Lab2 active set [1, 2, 3]",10,0.8768002726150427,0.9120003751714416,3,0.8944003238932421
head_only,lab2_active_1_4_7,"Lab2 active set [1, 4, 7]",10,0.8810004952249753,0.9077385272712228,3,0.894369511248099
head_only,lab2_active_4_7_13,"Lab2 active set [4, 7, 13]",10,0.8786556574167101,0.9097397886427631,3,0.8941977230297367
head_only,lab2_active_7_9_10,"Lab2 active set [7, 9, 10]",10,0.8724574127080025,0.9157657902424524,3,0.8941116014752275
head_only,lab2_active_1_5_6,"Lab2 active set [1, 5, 6]",10,0.8593098022778984,0.9286000148447688,3,0.8939549085613336
head_only,lab2_active_7_9_13,"Lab2 active set [7, 9, 13]",10,0.8709151556286151,0.9165888314172748,3,0.893751993522945
