transfer_mode,protocol_name,display_name,masked_total,variable,rmse,mae,r2
head_only,lab2_active_1_5_9,"Lab2 active set [1, 5, 9]",10,humidity,1.1697448267032071,0.8250305675543271,0.8898293754245228
head_only,lab2_active_1_5_9,"Lab2 active set [1, 5, 9]",10,temperature,0.3291121867991683,0.225122787631475,0.9354620529957555
head_only,lab2_active_1_6,"Lab2 active set [1, 6]",11,humidity,1.2530691618640246,0.9763403076391953,0.8724307030818254
head_only,lab2_active_1_6,"Lab2 active set [1, 6]",11,temperature,0.39107949940005937,0.30632426073917973,0.9097342873980085
head_only,lab2_active_1_6_10,"Lab2 active set [1, 6, 10]",10,humidity,1.275362387277825,0.9100658664336572,0.8722244168053007
head_only,lab2_active_1_6_10,"Lab2 active set [1, 6, 10]",10,temperature,0.33499000056999084,0.23941898002074316,0.9345582342769257
head_only,lab2_active_1_6_11,"Lab2 active set [1, 6, 11]",10,humidity,1.3374976866917103,0.9976760538724753,0.8559861709983925
head_only,lab2_active_1_6_11,"Lab2 active set [1, 6, 11]",10,temperature,0.413087881901152,0.33879431738303256,0.9016394616239591
head_only,lab2_active_1_6_12,"Lab2 active set [1, 6, 12]",10,humidity,1.2092172075833278,0.8907267909783584,0.8809116397798056
head_only,lab2_active_1_6_12,"Lab2 active set [1, 6, 12]",10,temperature,0.3587583503339224,0.26737966675024766,0.924401065962004
head_only,lab2_active_1_6_13,"Lab2 active set [1, 6, 13]",10,humidity,1.2646822648110148,0.8872725275846628,0.8671897426376477
head_only,lab2_active_1_6_13,"Lab2 active set [1, 6, 13]",10,temperature,0.3831424578554419,0.2904278039932251,0.9107955894947806
head_only,lab2_active_1_6_7,"Lab2 active set [1, 6, 7]",10,humidity,1.201198432186241,0.8513050950490512,0.8813657836362683
head_only,lab2_active_1_6_7,"Lab2 active set [1, 6, 7]",10,temperature,0.34316135667011183,0.23678617179393768,0.9310738025292424
head_only,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,humidity,1.194558331141406,0.8693966544591464,0.8864446767513936
head_only,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,temperature,0.33760756118302476,0.23564039170742035,0.9345687587779051
head_only,lab2_active_1_6_8,"Lab2 active set [1, 6, 8]",10,humidity,1.238774880865581,0.9013445102251493,0.8762197733459564
head_only,lab2_active_1_6_8,"Lab2 active set [1, 6, 8]",10,temperature,0.3588672952725102,0.26809456600592685,0.9252726002132511
head_only,lab2_active_1_6_8_10_11,"Lab2 active set [1, 6, 8, 10, 11]",8,humidity,1.231668244523578,0.8406178034268893,0.8795810205785245
head_only,lab2_active_1_6_8_10_11,"Lab2 active set [1, 6, 8, 10, 11]",8,temperature,0.34795942699638116,0.25131791486189914,0.9300150871209679
head_only,lab2_active_1_6_9,"Lab2 active set [1, 6, 9]",10,humidity,1.2072726973451113,0.9253569474587073,0.8768521555696854
head_only,lab2_active_1_6_9,"Lab2 active set [1, 6, 9]",10,temperature,0.3564434775173122,0.25972349597857547,0.922203846342205
head_only,lab2_active_1_7,"Lab2 active set [1, 7]",11,humidity,1.2928641241863659,0.9771422652097849,0.866584296674948
head_only,lab2_active_1_7,"Lab2 active set [1, 7]",11,temperature,0.3854069658859513,0.278236346749159,0.9152908992643319
head_only,lab2_active_1_7_10,"Lab2 active set [1, 7, 10]",10,humidity,1.22803564884401,0.8626711964607239,0.8786937919922384
head_only,lab2_active_1_7_10,"Lab2 active set [1, 7, 10]",10,temperature,0.346497639051786,0.24038712565715498,0.9311620502177801
head_only,lab2_active_1_7_11,"Lab2 active set [1, 7, 11]",10,humidity,1.2912022084146517,0.9020006289848914,0.8678286373444983
head_only,lab2_active_1_7_11,"Lab2 active set [1, 7, 11]",10,temperature,0.3448643846555097,0.23556030828219193,0.9309802955034367
head_only,lab2_active_1_7_12,"Lab2 active set [1, 7, 12]",10,humidity,1.2745447265415588,0.9298764237990746,0.8709624884032461
head_only,lab2_active_1_7_12,"Lab2 active set [1, 7, 12]",10,temperature,0.3581486887012294,0.2607192901464609,0.9266942027065432
head_only,lab2_active_1_7_13,"Lab2 active set [1, 7, 13]",10,humidity,1.3197445551990528,0.912970632314682,0.8563395879449465
head_only,lab2_active_1_7_13,"Lab2 active set [1, 7, 13]",10,temperature,0.3796737920142732,0.26375179336621213,0.9147270972319224
head_only,lab2_active_1_7_8,"Lab2 active set [1, 7, 8]",10,humidity,1.2505612696829567,0.9078507194152245,0.8751328949430436
head_only,lab2_active_1_7_8,"Lab2 active set [1, 7, 8]",10,temperature,0.3540498882310707,0.25027188429465663,0.9275953927044764
head_only,lab2_active_1_7_9,"Lab2 active set [1, 7, 9]",10,humidity,1.3970358298156478,1.1367846910770123,0.8472203092522357
head_only,lab2_active_1_7_9,"Lab2 active set [1, 7, 9]",10,temperature,0.4026982747909515,0.31095367211561936,0.9073358072000417
head_only,lab2_active_1_7_9_11_13,"Lab2 active set [1, 7, 9, 11, 13]",8,humidity,1.2386704134693314,0.8581467339625726,0.8781367839652258
